suburb,postcode,lat,lon,total_patient,population,age,AM,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
BRADBURY,2560,-34.086006,150.81401599999998,19,8798,adult,29,0.0,Supermarket,Chinese Restaurant,Pizza Place,Shopping Mall,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
BREAKFAST POINT,2137,-33.841583,151.107502,10,4208,adult,29,3.0,Café,Park,Spa,Boat or Ferry,Grocery Store,Pub,Yoga Studio,Event Service,Event Space,Falafel Restaurant
BRINGELLY,2556,-33.945707,150.725207,0,2511,mid-age,49,,,,,,,,,,,
BRONTE,2024,-33.902328000000004,151.263838,17,6718,adult,29,3.0,Café,Juice Bar,Beach,Park,Bakery,Breakfast Spot,Convenience Store,Australian Restaurant,Indian Restaurant,Burger Joint
BROOKLYN,2083,-33.548006,151.22519,0,715,mid-age,49,1.0,Platform,Seafood Restaurant,Harbor / Marina,Bookstore,Boat or Ferry,Bay,Café,Pub,Train Station,Event Service
BROOKVALE,2100,-33.766628999999995,151.273824,11,3176,adult,29,0.0,Brewery,Yoga Studio,Liquor Store,Gym,Café,Bakery,Pizza Place,Flower Shop,Flea Market,Event Service
BUNDEENA,2230,-34.085064,151.151259,25,1918,mid-age,49,3.0,Café,Beach,Grocery Store,Pier,Pub,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space
BURRANEER,2230,-34.065063,151.137171,25,3590,mid-age,49,1.0,Harbor / Marina,German Restaurant,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
BURWOOD,2134,-33.877423,151.10368200000002,5,16011,adult,29,0.0,Café,Chinese Restaurant,Noodle House,Supermarket,Coffee Shop,Juice Bar,Fast Food Restaurant,Sandwich Place,Department Store,Bakery
BURWOOD HEIGHTS,2136,-33.888328,151.10341200000002,0,989,adult,29,1.0,Thai Restaurant,Burger Joint,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
BUSBY,2168,-33.910896,150.875155,13,4306,adult,29,1.0,Asian Restaurant,Bus Stop,Bus Station,Yoga Studio,Electronics Store,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CABARITA,2137,-33.849081,151.113765,10,1973,senior+,69,2.0,Park,Beach,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CABRAMATTA,2166,-33.895070000000004,150.935889,4,21803,adult,29,0.0,Vietnamese Restaurant,Chinese Restaurant,Bubble Tea Shop,Café,Thai Restaurant,Fast Food Restaurant,Bakery,Sushi Restaurant,Supermarket,Noodle House
CABRAMATTA WEST,2166,-33.899136,150.91751399999998,4,7237,mid-age,49,0.0,Convenience Store,Golf Course,Pizza Place,Fast Food Restaurant,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant
CAMBRIDGE GARDENS,2747,-33.735558000000005,150.72171200000003,50,2029,adult,29,0.0,Baseball Field,Fast Food Restaurant,Yoga Studio,Food Truck,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Field
CAMBRIDGE PARK,2747,-33.75152,150.725439,50,6716,adult,29,,,,,,,,,,,
CAMDEN,2570,-34.054598999999996,150.69567800000002,16,3221,senior+,69,3.0,Café,Supermarket,Park,Australian Restaurant,Fast Food Restaurant,Thai Restaurant,Pizza Place,Fishing Store,Fish Market,Electronics Store
CAMDEN SOUTH,2570,-34.08748,150.695074,16,4524,adult,29,0.0,Pub,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CAMELLIA,2142,-33.816872,151.022191,7,2637,adult,29,0.0,Pizza Place,Bowling Green,Café,Sandwich Place,American Restaurant,Arcade,Gas Station,Train Station,Supermarket,Fast Food Restaurant
CAMMERAY,2062,-33.821953,151.21043,8,7017,adult,29,3.0,Café,Thai Restaurant,Japanese Restaurant,Breakfast Spot,Fruit & Vegetable Store,Bus Stop,Sports Bar,Butcher,Fast Food Restaurant,Bar
CAMPBELLTOWN,2560,-34.067440999999995,150.812522,19,12561,adult,29,0.0,Fast Food Restaurant,Movie Theater,Supermarket,Juice Bar,Chinese Restaurant,Grocery Store,Gym,Asian Restaurant,Big Box Store,Pub
CAMPERDOWN,2050,-33.888659999999994,151.177188,5,10352,adult,29,3.0,Café,Convenience Store,Gym,Thai Restaurant,Pub,Motorcycle Shop,Liquor Store,Sushi Restaurant,Gastropub,Restaurant
CAMPSIE,2194,-33.914373,151.103465,4,24539,adult,29,0.0,Gym,Bar,Fast Food Restaurant,Chinese Restaurant,Malay Restaurant,Grocery Store,Korean Restaurant,Fried Chicken Joint,Department Store,Vietnamese Restaurant
CANADA BAY,2046,-33.863194,151.116398,14,1255,mid-age,49,1.0,Golf Course,Sports Club,Coffee Shop,Athletics & Sports,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
CANLEY HEIGHTS,2166,-33.883633,150.923895,4,10971,mid-age,49,0.0,Vietnamese Restaurant,Café,Japanese Restaurant,Gym,Bar,Grocery Store,Vegetarian / Vegan Restaurant,Dessert Shop,Tapas Restaurant,Korean Restaurant
CANLEY VALE,2166,-33.887291,150.943275,4,10214,adult,29,0.0,Chinese Restaurant,Vietnamese Restaurant,Platform,Café,BBQ Joint,Dessert Shop,Bar,Restaurant,Gym / Fitness Center,Pub
CANOELANDS,2157,-33.508714000000005,151.061148,0,179,mid-age,49,1.0,Farm,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Field
CANTERBURY,2193,-33.910848,151.12114499999998,10,7240,adult,29,0.0,Supermarket,Platform,Bike Trail,Camera Store,Korean Restaurant,Liquor Store,Japanese Restaurant,Train Station,Park,Bakery
CARINGBAH,2229,-34.04316,151.123102,15,11672,adult,29,0.0,Coffee Shop,Pizza Place,Liquor Store,Gym,Pub,Fast Food Restaurant,Supermarket,Pool,Café,Brazilian Restaurant
CARLINGFORD,2118,-33.782959000000005,151.047707,9,24401,mid-age,49,0.0,Chinese Restaurant,Convenience Store,Pizza Place,Music Store,Train Station,Italian Restaurant,Yoga Studio,Electronics Store,Event Service,Event Space
CARLTON,2218,-33.968523,151.124528,12,10731,adult,29,1.0,Platform,Antique Shop,Seafood Restaurant,Japanese Restaurant,Dessert Shop,Pet Store,Bar,Fish Market,Fishing Store,Electronics Store
CARRAMAR,2163,-33.884558,150.961884,7,3547,adult,29,2.0,Train Station,Park,Yoga Studio,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
