suburb,postcode,lat,lon,total_patient,population,age,AM,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
MINTO,2566,-34.032022,150.848208,4,12560,adult,29,0.0,Fast Food Restaurant,Convenience Store,Grocery Store,Coffee Shop,Shopping Mall,Department Store,Farmers Market,Athletics & Sports,Supermarket,Yoga Studio
MINTO HEIGHTS,2566,-34.037543,150.871353,4,365,senior+,69,,,,,,,,,,,
MIRANDA,2228,-34.034014,151.100428,6,15269,adult,29,0.0,Fast Food Restaurant,Department Store,Bakery,Coffee Shop,Dumpling Restaurant,Café,Bar,Juice Bar,Clothing Store,Electronics Store
MONA VALE,2103,-33.67707,151.30031599999998,5,10668,senior+,69,3.0,Café,Park,Supermarket,Bus Stop,Asian Restaurant,Sandwich Place,Gym,Fried Chicken Joint,Sushi Restaurant,Fast Food Restaurant
MONTEREY,2217,-33.973068,151.150983,10,4539,mid-age,49,1.0,Park,Breakfast Spot,Burger Joint,Beach,Seafood Restaurant,Bus Stop,Yoga Studio,Event Space,Falafel Restaurant,Farm
MOORE PARK,2021,-33.893632000000004,151.219357,23,18,adult,29,1.0,Event Space,Park,Greek Restaurant,Pub,Café,Falafel Restaurant,Italian Restaurant,Golf Course,Cricket Ground,Fish Market
MOOREBANK,2170,-33.933805,150.953602,22,9739,adult,29,0.0,Chinese Restaurant,Supermarket,Italian Restaurant,Pharmacy,Pub,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
MORNING BAY,2108,-33.623044,151.281623,1,302,senior+,69,1.0,Trail,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
MORTDALE,2223,-33.972239,151.075391,3,10415,adult,29,0.0,Newsstand,Sandwich Place,Italian Restaurant,Park,Grocery Store,Event Space,Indian Restaurant,Steakhouse,Café,Cupcake Shop
MORTLAKE,2137,-33.843435,151.10698,10,1043,adult,29,3.0,Café,Pizza Place,Thai Restaurant,Grocery Store,Pub,Park,Farmers Market,Egyptian Restaurant,Electronics Store,Event Service
MOSMAN,2088,-33.829077000000005,151.24409,41,28470,mid-age,49,3.0,Café,Bakery,Italian Restaurant,Pub,Grocery Store,Cheese Shop,Clothing Store,Japanese Restaurant,Creperie,Fried Chicken Joint
MOUNT ANNAN,2567,-34.054864,150.764158,19,11696,mid-age,49,0.0,Platform,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
MOUNT COLAH,2079,-33.664817,151.117161,1,7093,mid-age,49,1.0,Mountain,Home Service,Liquor Store,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
MOUNT DRUITT,2770,-33.766434000000004,150.81698899999998,12,16730,adult,29,0.0,Fast Food Restaurant,Coffee Shop,Platform,Gym,Juice Bar,Electronics Store,Arts & Crafts Store,Fried Chicken Joint,Movie Theater,Music Store
MOUNT LEWIS,2190,-33.917157,151.04783799999998,3,1194,adult,29,0.0,Fast Food Restaurant,Dessert Shop,Pastry Shop,Lebanese Restaurant,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant
MOUNT LEWIS,2200,-33.917157,151.04783799999998,13,1191,adult,29,0.0,Fast Food Restaurant,Dessert Shop,Pastry Shop,Lebanese Restaurant,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant
MOUNT PRITCHARD,2170,-33.894816999999996,150.90304,22,9960,adult,29,1.0,Dim Sum Restaurant,Soccer Field,Thrift / Vintage Store,Bistro,Vietnamese Restaurant,Gym / Fitness Center,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant
MOUNT VERNON,2178,-33.862377,150.80788700000002,2,1188,mid-age,49,,,,,,,,,,,
MULGOA,2745,-33.838167,150.683371,13,1898,mid-age,49,,,,,,,,,,,
MULGRAVE,2756,-33.626053000000006,150.829912,12,76,young,9,1.0,Train Station,Bus Station,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
NARELLAN VALE,2567,-34.055271000000005,150.74408,19,7188,mid-age,49,1.0,Snack Place,Athletics & Sports,Japanese Restaurant,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
NAREMBURN,2065,-33.817299,151.20116000000002,22,5885,adult,29,3.0,Café,Pizza Place,Bike Rental / Bike Share,Liquor Store,Beer Bar,Scenic Lookout,Japanese Restaurant,Seafood Restaurant,Thai Restaurant,Electronics Store
NARRABEEN,2101,-33.723127000000005,151.287366,9,8194,senior+,69,1.0,Grocery Store,Concert Hall,Park,Bus Station,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
NARRAWEENA,2099,-33.749912,151.274687,20,6625,mid-age,49,3.0,Café,Liquor Store,Shopping Mall,Park,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
NARWEE,2209,-33.948609000000005,151.069628,12,5622,adult,29,0.0,Convenience Store,Pub,Café,Train Station,Bakery,Pizza Place,Flower Shop,Farmers Market,Electronics Store,Event Service
NELSON,2550,-36.675498,149.971179,1,8,young,9,,,,,,,,,,,
NELSON,2765,-33.652795000000005,150.915685,7,444,senior+,69,,,,,,,,,,,
NEUTRAL BAY,2089,-33.83112,151.22123200000001,9,10478,adult,29,0.0,Japanese Restaurant,Café,Thai Restaurant,Gym,Bakery,Supermarket,Malay Restaurant,Italian Restaurant,Pharmacy,Burger Joint
NEWINGTON,2127,-33.839276,151.05482800000001,5,5798,adult,29,1.0,Food Stand,Bus Station,Flower Shop,Arcade,Bus Stop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
NEWPORT,2106,-33.659896,151.309312,5,9283,mid-age,49,1.0,Burger Joint,Sports Club,Pub,Harbor / Marina,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
NEWTOWN,2042,-33.896449,151.180013,9,15027,adult,29,0.0,Café,Bar,Pub,Pizza Place,Bakery,Vegetarian / Vegan Restaurant,Ice Cream Shop,Coffee Shop,Australian Restaurant,Cocktail Bar
NORMANHURST,2076,-33.720999,151.097331,11,5280,mid-age,49,3.0,Platform,Thai Restaurant,Café,Train Station,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
NORTH BALGOWLAH,2093,-33.787074,151.251721,12,3653,mid-age,49,3.0,Café,Food Service,Convenience Store,Gym / Fitness Center,Fried Chicken Joint,Liquor Store,Gaming Cafe,Field,Event Space,Falafel Restaurant
NORTH BONDI,2026,-33.8857,151.279788,113,9162,adult,29,1.0,Café,Australian Restaurant,Pizza Place,Israeli Restaurant,Flea Market,Mexican Restaurant,Bus Station,Fish & Chips Shop,Farmers Market,Falafel Restaurant
NORTH CURL CURL,2099,-33.761652000000005,151.295691,20,4108,mid-age,49,1.0,Vegetarian / Vegan Restaurant,Scenic Lookout,Beach,Liquor Store,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
NORTH EPPING,2121,-33.759777,151.087742,4,4538,mid-age,49,1.0,Playground,Dog Run,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
NORTH MANLY,2100,-33.775702,151.269339,11,3074,mid-age,49,1.0,Gas Station,Golf Course,Athletics & Sports,Park,Yoga Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
NORTH NARRABEEN,2101,-33.702661,151.293622,9,5864,mid-age,49,3.0,Construction & Landscaping,Café,Gym / Fitness Center,Stadium,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
NORTH PARRAMATTA,2151,-33.798043,151.010707,5,13253,adult,29,1.0,Hotel,Bus Stop,Pharmacy,Music Store,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
NORTH RICHMOND,2754,-33.582355,150.721891,3,4983,mid-age,49,3.0,Café,Shopping Mall,Sandwich Place,Grocery Store,Fast Food Restaurant,Chinese Restaurant,Park,Sports Bar,Fish & Chips Shop,Farm
NORTH ROCKS,2151,-33.768119,151.02854,5,7978,mid-age,49,3.0,Café,Gym,Portuguese Restaurant,Shopping Mall,Australian Restaurant,Supermarket,Coffee Shop,Chinese Restaurant,Department Store,Middle Eastern Restaurant
NORTH RYDE,2113,-33.79677,151.124355,22,10867,mid-age,49,0.0,Café,Thai Restaurant,Liquor Store,Farmers Market,Bakery,Fish & Chips Shop,Shopping Mall,Deli / Bodega,Thrift / Vintage Store,Pharmacy
NORTH ST MARYS,2760,-33.776502,150.781319,11,3903,adult,29,2.0,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
NORTH STRATHFIELD,2137,-33.857459999999996,151.09195400000002,10,4748,adult,29,0.0,Pizza Place,Indian Restaurant,Liquor Store,Supermarket,Chinese Restaurant,Japanese Restaurant,Asian Restaurant,Noodle House,Sports Club,Thai Restaurant
NORTH SYDNEY,2055,-33.802837,151.104935,0,7707,adult,29,3.0,Café,Coffee Shop,Japanese Restaurant,Gym,Bar,Juice Bar,Sandwich Place,Bakery,Vietnamese Restaurant,Park
NORTH SYDNEY,2060,-33.838265,151.206481,11,7713,adult,29,3.0,Café,Coffee Shop,Japanese Restaurant,Gym,Bar,Juice Bar,Sandwich Place,Bakery,Vietnamese Restaurant,Park
NORTH TURRAMURRA,2074,-33.713419,151.147146,14,4269,senior+,69,0.0,Grocery Store,Bakery,Australian Restaurant,Chinese Restaurant,Italian Restaurant,Food & Drink Shop,Flower Shop,Farmers Market,Electronics Store,Event Service
NORTH WILLOUGHBY,2068,-33.793089,151.19578700000002,15,4173,mid-age,49,3.0,Café,Grocery Store,Japanese Restaurant,Pizza Place,Pub,Gas Station,Thai Restaurant,Liquor Store,BBQ Joint,Chinese Restaurant
NORTH WAHROONGA,2076,-33.702704,151.123179,11,1975,mid-age,49,,,,,,,,,,,
NORTHBRIDGE,2063,-33.815028000000005,151.222266,1,6331,mid-age,49,1.0,Harbor / Marina,Golf Course,Park,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
NORTHMEAD,2152,-33.783849,150.994336,5,11216,adult,29,0.0,Bowling Green,Pizza Place,Baseball Field,Seafood Restaurant,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
NORTHWOOD,2066,-33.829732,151.177751,16,987,mid-age,49,1.0,Pier,Boat or Ferry,Park,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
OAKHURST,2761,-33.744048,150.83481899999998,15,6959,adult,29,0.0,Fast Food Restaurant,Café,Grocery Store,Sandwich Place,Fish & Chips Shop,Department Store,Shopping Mall,Liquor Store,Yoga Studio,Event Space
OAKVILLE,2765,-33.622562,150.862154,7,1969,mid-age,49,,,,,,,,,,,
OATLANDS,2117,-33.796298,151.02631399999999,6,5661,mid-age,49,0.0,Grocery Store,Golf Course,Shopping Mall,Burger Joint,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
OATLEY,2223,-33.981428,151.082765,3,10491,mid-age,49,3.0,Café,Park,Pub,Bakery,Grocery Store,Australian Restaurant,Chinese Restaurant,Thai Restaurant,Plaza,Film Studio
OLD GUILDFORD,2161,-33.867084000000006,150.98807299999999,8,2667,adult,29,0.0,Fast Food Restaurant,Electronics Store,Paper / Office Supplies Store,Yoga Studio,Eastern European Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
OLD TOONGABBIE,2146,-33.792713,150.974108,0,3126,mid-age,49,0.0,BBQ Joint,Dessert Shop,Fast Food Restaurant,Bakery,IT Services,Food Court,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant
ORAN PARK,2570,-34.006941,150.723908,16,4762,adult,29,1.0,Electronics Store,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
ORCHARD HILLS,2748,-33.779331,150.71631200000002,1,1890,mid-age,49,1.0,Flower Shop,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
OXFORD FALLS,2100,-33.730197,151.24821799999998,11,143,senior+,69,1.0,Scenic Lookout,Yoga Studio,Cosmetics Shop,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
OXLEY PARK,2760,-33.771260999999996,150.79263999999998,11,3100,adult,29,0.0,Convenience Store,IT Services,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
OYSTER BAY,2225,-34.006894,151.081067,5,5479,mid-age,49,1.0,Spa,Pizza Place,Dog Run,Park,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
PADDINGTON,2021,-33.885032,151.226475,23,12922,adult,29,3.0,Café,Bar,Italian Restaurant,Coffee Shop,Restaurant,Pizza Place,Flea Market,Fast Food Restaurant,Boutique,Road
PADSTOW,2211,-33.953915,151.038163,6,13313,mid-age,49,0.0,Cosmetics Shop,Supermarket,Thai Restaurant,Coffee Shop,Pharmacy,Seafood Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
PADSTOW HEIGHTS,2211,-33.971073,151.030955,6,3537,senior+,69,3.0,Café,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
PAGEWOOD,2035,-33.940108,151.22841100000002,22,3792,mid-age,49,0.0,Optical Shop,Pizza Place,Liquor Store,Pub,Coffee Shop,Gym,Chinese Restaurant,Farmers Market,Egyptian Restaurant,Electronics Store
PALM BEACH,2108,-33.604282,151.321419,1,1586,senior+,69,3.0,Café,Scenic Lookout,Beach,Park,Yoga Studio,Fast Food Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
PANANIA,2213,-33.95613,150.99804699999999,6,12418,mid-age,49,0.0,Pizza Place,Fried Chicken Joint,Grocery Store,Train Station,Seafood Restaurant,Thai Restaurant,Pub,Fast Food Restaurant,Bakery,Coffee Shop
PARKLEA,2768,-33.728123,150.923807,3,3477,adult,29,1.0,Playground,Athletics & Sports,Fast Food Restaurant,Bus Station,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
PARRAMATTA,2150,-33.816957,151.003451,5,25793,adult,29,0.0,Café,Coffee Shop,Department Store,Thai Restaurant,Chinese Restaurant,Pub,Burger Joint,Sushi Restaurant,Fast Food Restaurant,Sandwich Place
PEAKHURST,2210,-33.959715,151.06218700000002,21,10548,senior+,69,3.0,Grocery Store,Café,Pub,Falafel Restaurant,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Farm
PEAKHURST HEIGHTS,2210,-33.968127,151.057596,21,2345,senior+,69,3.0,Golf Course,Café,Tennis Court,Park,Yoga Studio,Fast Food Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
PEMULWUY,2145,-33.821944,150.923752,42,5013,adult,29,3.0,Gym,Café,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
PENDLE HILL,2145,-33.801912,150.955614,42,7244,adult,29,0.0,Platform,Convenience Store,Chinese Restaurant,Supermarket,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
PENNANT HILLS,2120,-33.738681,151.071433,13,7296,mid-age,49,0.0,Thai Restaurant,Café,Gym,Pub,Noodle House,Sandwich Place,Sushi Restaurant,Grocery Store,Chinese Restaurant,Farmers Market
PENRITH,2750,-33.744073,150.69602,27,13300,adult,29,0.0,Warehouse Store,Coffee Shop,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
PENSHURST,2222,-33.963346,151.08674399999998,0,12800,adult,29,3.0,Café,Fast Food Restaurant,Pizza Place,Grocery Store,Gym,Train Station,Gas Station,Farmers Market,Electronics Store,Event Service
PETERSHAM,2049,-33.896242,151.15413600000002,4,8096,adult,29,3.0,Café,Pub,Portuguese Restaurant,Liquor Store,Bus Stop,Candy Store,Bar,Beer Garden,Supermarket,Falafel Restaurant
PHILLIP BAY,2036,-33.980556,151.236692,12,702,mid-age,49,3.0,Construction & Landscaping,Café,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
PICNIC POINT,2213,-33.979303,151.000056,6,6148,mid-age,49,1.0,Trail,Molecular Gastronomy Restaurant,Park,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
PITT TOWN,2756,-33.586184,150.860081,12,3036,mid-age,49,3.0,Grocery Store,Café,Pub,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
PITT TOWN BOTTOMS,2756,-33.596291,150.841424,12,107,mid-age,49,,,,,,,,,,,
PLEASURE POINT,2172,-33.966909,150.98764,1,517,mid-age,49,2.0,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
PLUMPTON,2761,-33.751432,150.841204,15,9193,adult,29,0.0,Convenience Store,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
POINT PIPER,2027,-33.870083,151.252329,7,1424,senior+,69,1.0,Harbor / Marina,Boat Rental,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
PORT BOTANY,2036,-33.966245,151.225013,12,8790,senior+,69,1.0,Business Service,Bus Stop,Yoga Studio,Costume Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
PORT HACKING,2229,-34.067503,151.122449,15,1097,young,9,3.0,Café,Liquor Store,Yoga Studio,Food Stand,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
POTTS HILL,2143,-33.898247,151.031087,0,876,adult,29,1.0,Auto Workshop,Optical Shop,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
POTTS POINT,2011,-33.869026,151.225603,30,9421,adult,29,3.0,Café,Australian Restaurant,Hotel,Park,Italian Restaurant,Bar,Trail,Burger Joint,Japanese Restaurant,Chinese Restaurant
PRAIRIEWOOD,2176,-33.867342,150.90213,18,3254,mid-age,49,0.0,Convenience Store,Fried Chicken Joint,Flea Market,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
PRESTONS,2170,-33.942903,150.872145,22,15308,mid-age,49,1.0,Fried Chicken Joint,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
PROSPECT,2148,-33.801553000000006,150.916198,34,4726,adult,29,0.0,Furniture / Home Store,Sporting Goods Shop,Flower Shop,Sandwich Place,Shopping Mall,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant
PUNCHBOWL,2196,-33.925686,151.05463500000002,5,20242,adult,29,3.0,Lebanese Restaurant,Grocery Store,Australian Restaurant,Café,Train Station,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant
PUNCHBOWL,2460,-29.494598999999997,152.795221,3,289,senior+,69,3.0,Lebanese Restaurant,Grocery Store,Australian Restaurant,Café,Train Station,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant
PUTNEY,2112,-33.824735,151.112549,11,4105,mid-age,49,3.0,Café,Thai Restaurant,Grocery Store,Burger Joint,Gym Pool,Park,Hardware Store,Farm,Egyptian Restaurant,Electronics Store
PYMBLE,2073,-33.74414,151.14110300000002,6,11040,mid-age,49,0.0,Pizza Place,Coffee Shop,Pub,Train Station,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant
PYRMONT,2009,-33.869709,151.19393,9,12832,adult,29,1.0,Café,Fish Market,Seafood Restaurant,Bar,Australian Restaurant,Hotel,Restaurant,Japanese Restaurant,Pub,Italian Restaurant
QUAKERS HILL,2763,-33.728356,150.881177,17,27077,adult,29,1.0,Fried Chicken Joint,Indian Restaurant,Pub,Australian Restaurant,Department Store,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant
QUEENS PARK,2022,-33.903188,151.247205,37,3065,mid-age,49,3.0,Café,Japanese Restaurant,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
QUEENSCLIFF,2096,-33.784595,151.287817,14,3365,adult,29,3.0,Beach,Café,Italian Restaurant,Breakfast Spot,Burger Joint,Restaurant,Liquor Store,Coffee Shop,Park,Bar
RABY,2566,-34.021071,150.81134699999998,4,5936,adult,29,1.0,Athletics & Sports,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
RAMSGATE,2217,-33.984683000000004,151.139847,10,1113,mid-age,49,0.0,Café,Pizza Place,Pub,Bar,Thai Restaurant,Child Care Service,Greek Restaurant,Recreation Center,Grocery Store,Italian Restaurant
RAMSGATE BEACH,2217,-33.981114,151.1483,10,1661,senior+,69,3.0,Café,Seafood Restaurant,Beach,Farmers Market,Gas Station,Yoga Studio,Electronics Store,Event Space,Falafel Restaurant,Farm
RANDWICK,2031,-33.913164,151.24199299999998,28,29994,adult,29,3.0,Café,Thai Restaurant,Fast Food Restaurant,Supermarket,Gym,Pub,Moroccan Restaurant,Mexican Restaurant,Farmers Market,Sandwich Place
REDFERN,2016,-33.892778,151.203901,7,13231,adult,29,3.0,Café,Bar,Park,Pizza Place,Art Gallery,Donut Shop,Bakery,Ramen Restaurant,Pub,Japanese Restaurant
REGENTS PARK,2143,-33.883928000000004,151.023796,0,4911,adult,29,0.0,Pizza Place,Middle Eastern Restaurant,Vietnamese Restaurant,Sports Club,Train Station,Yoga Studio,Field,Electronics Store,Event Service,Event Space
REGENTVILLE,2745,-33.773649,150.669102,13,810,mid-age,49,0.0,Furniture / Home Store,Arts & Crafts Store,Convenience Store,Pharmacy,Café,Electronics Store,Sporting Goods Shop,Flea Market,Fast Food Restaurant,Event Service
REVESBY,2212,-33.951507,151.017247,4,14189,adult,29,0.0,Bakery,Café,Liquor Store,Japanese Restaurant,Italian Restaurant,Gym,Sandwich Place,Fast Food Restaurant,Grocery Store,Coffee Shop
REVESBY HEIGHTS,2212,-33.968802000000004,151.015063,4,1662,mid-age,49,1.0,Business Service,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
RHODES,2138,-33.830764,151.088105,4,11920,adult,29,3.0,Café,Park,Dim Sum Restaurant,Fast Food Restaurant,Japanese Restaurant,Sandwich Place,Gym,Chinese Restaurant,Italian Restaurant,Food Court
RICHMOND,2753,-33.597753000000004,150.75288999999998,5,5499,adult,29,0.0,Café,Supermarket,Middle Eastern Restaurant,Fish & Chips Shop,Sandwich Place,Movie Theater,Discount Store,Pub,Sports Bar,Department Store
RICHMOND LOWLANDS,2753,-33.568630999999996,150.757565,5,32,mid-age,49,,,,,,,,,,,
RIVERSTONE,2765,-33.679382000000004,150.861595,7,7238,adult,29,0.0,Pizza Place,Shopping Mall,Bar,Café,Sandwich Place,Train Station,Seafood Restaurant,Fast Food Restaurant,Convenience Store,Fish & Chips Shop
RIVERVIEW,2066,-33.825587,151.15993400000002,16,3340,young,9,2.0,Park,Gym,Harbor / Marina,Arcade,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
RIVERVIEW,2404,-29.904643,150.687307,0,3347,young,9,2.0,Park,Gym,Harbor / Marina,Arcade,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
RIVERWOOD,2210,-33.949859000000004,151.052469,21,12104,adult,29,0.0,Pizza Place,Coffee Shop,Train Station,Shopping Mall,Middle Eastern Restaurant,Fast Food Restaurant,Sandwich Place,Café,Lebanese Restaurant,Cantonese Restaurant
ROCKDALE,2216,-33.952746999999995,151.137624,13,15521,adult,29,0.0,Fast Food Restaurant,Café,Coffee Shop,Pizza Place,Thai Restaurant,Middle Eastern Restaurant,Shopping Mall,Sporting Goods Shop,Bus Stop,Supermarket
RODD POINT,2046,-33.868208,151.141652,14,1405,mid-age,49,3.0,Trail,Café,Pizza Place,Park,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
ROOKWOOD,2141,-33.866398,151.058147,7,8,senior+,69,3.0,Café,Bus Stop,Yoga Studio,Costume Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
ROOTY HILL,2766,-33.77155,150.843922,7,14705,adult,29,0.0,Grocery Store,Platform,Burger Joint,Café,Chinese Restaurant,Filipino Restaurant,Bakery,Pizza Place,Fish Market,Farm
ROPES CROSSING,2760,-33.77448,150.81084099999998,11,6172,adult,29,0.0,Convenience Store,Pub,Furniture / Home Store,Fast Food Restaurant,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
ROSE BAY,2029,-33.866555,151.28045600000002,11,10040,adult,29,1.0,Park,Pizza Place,Hungarian Restaurant,Deli / Bodega,Indian Restaurant,Seafood Restaurant,Thai Restaurant,Supermarket,Yoga Studio,Fast Food Restaurant
ROSEBERY,2018,-33.920412,151.20310700000002,11,10119,adult,29,3.0,Café,Bakery,Souvlaki Shop,Italian Restaurant,Burger Joint,Furniture / Home Store,Dog Run,Australian Restaurant,Distillery,Food Service
ROSEHILL,2142,-33.819992,151.024558,7,3795,adult,29,0.0,Train Station,Hotel,Platform,Recreation Center,Sandwich Place,Fast Food Restaurant,Bowling Green,Stadium,Supermarket,Gas Station
ROSELANDS,2196,-33.933167,151.073197,5,11589,adult,29,0.0,Fast Food Restaurant,Modern European Restaurant,Pub,Bar,Furniture / Home Store,Big Box Store,Grocery Store,Record Shop,Bus Station,Paper / Office Supplies Store
ROSEMEADOW,2560,-34.101795,150.800106,19,7835,adult,29,0.0,Shopping Mall,Pizza Place,Fast Food Restaurant,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
ROSEVILLE,2069,-33.784634999999994,151.177111,6,10088,mid-age,49,3.0,Café,Convenience Store,Train Station,Movie Theater,Fried Chicken Joint,Steakhouse,Liquor Store,Lebanese Restaurant,Bakery,Modern European Restaurant
ROSEVILLE CHASE,2069,-33.778902,151.19519499999998,6,1610,mid-age,49,1.0,Lebanese Restaurant,Wine Shop,Mobile Phone Shop,Thai Restaurant,Golf Course,Gas Station,Fast Food Restaurant,Electronics Store,Event Service,Event Space
ROSSMORE,2557,-33.945965,150.772763,5,2293,mid-age,49,1.0,Gas Station,Yoga Studio,Food Stand,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
ROUSE HILL,2155,-33.682068,150.91539699999998,25,7971,mid-age,49,0.0,Pizza Place,Fast Food Restaurant,Chinese Restaurant,Park,Café,Grocery Store,Supermarket,Yoga Studio,Event Service,Event Space
ROZELLE,2039,-33.863063000000004,151.170573,5,8720,adult,29,3.0,Café,Pub,Vegetarian / Vegan Restaurant,Bakery,Pizza Place,Seafood Restaurant,Sushi Restaurant,Bar,Flea Market,Fruit & Vegetable Store
