suburb,postcode,lat,lon,total_patient,population,age
MALABAR,2036,-33.965376,151.245969,12,5423,40 to 59
MANLY,2095,-33.797144,151.28804,20,15854,20 to 39
MANLY VALE,2093,-33.784036,151.267315,12,6166,20 to 39
MARAYLYA,2765,-33.58198,150.90695,7,1240,40 to 59
MARAYONG,2148,-33.746168,150.898338,34,7727,20 to 39
MAROOTA,2756,-33.473024,150.970972,12,634,40 to 59
MAROUBRA,2035,-33.946123,151.242818,22,30681,20 to 39
MARRICKVILLE,2204,-33.910923,151.157187,10,26607,20 to 39
MARSDEN PARK,2765,-33.697585,150.832318,7,1009,60+
MARSFIELD,2122,-33.783971,151.094241,25,13293,20 to 39
MASCOT,2020,-33.931189,151.19431,12,14759,20 to 39
MATRAVILLE,2036,-33.957549,151.230846,12,9812,40 to 59
MAYS HILL,2145,-33.82066,150.990511,42,762,20 to 39
MCGRATHS HILL,2756,-33.613435,150.840222,12,2550,40 to 59
MCMAHONS POINT,2060,-33.84464,151.20425,11,2283,20 to 39
MEADOWBANK,2114,-33.815912,151.090715,12,4406,20 to 39
MELROSE PARK,2114,-33.816575,151.076089,12,1576,40 to 59
MENAI,2234,-34.012564,151.014645,20,10321,40 to 59
MENANGLE PARK,2563,-34.100121,150.757016,0,258,20 to 39
MERRYLANDS,2160,-33.836381,150.989219,6,29660,20 to 39
MERRYLANDS WEST,2160,-33.832864,150.972036,6,6596,20 to 39
MIDDLE COVE,2068,-33.794087,151.207975,15,1327,40 to 59
MIDDLE DURAL,2158,-33.648471,151.021276,3,1011,60+
MIDDLETON GRANGE,2171,-33.914093,150.843547,12,5181,20 to 39
MILLERS POINT,2000,-33.858315,151.203519,18,1494,40 to 59
MILPERRA,2214,-33.937834,150.989263,0,3938,40 to 59
MILSONS PASSAGE,2083,-33.518967,151.176541,0,16,60+
MILSONS POINT,2061,-33.847526,151.211568,3,2166,20 to 39
MINCHINBURY,2770,-33.781673,150.813667,12,5626,20 to 39
MINTO,2566,-34.032022,150.848208,4,12560,20 to 39
MINTO HEIGHTS,2566,-34.037543,150.871353,4,365,60+
MIRANDA,2228,-34.034014,151.100428,6,15269,20 to 39
MONA VALE,2103,-33.67707,151.300316,5,10668,60+
MONTEREY,2217,-33.973068,151.150983,10,4539,40 to 59
MOORE PARK,2021,-33.893632,151.219357,23,18,20 to 39
MOOREBANK,2170,-33.933805,150.953602,22,9739,20 to 39
MORNING BAY,2108,-33.623044,151.281623,1,302,60+
MORTDALE,2223,-33.972239,151.075391,3,10415,20 to 39
